key	synidaemi	launaflokkur	threp	aldursflokkur	kennsluskylda	skertur	vinnumat	ryrnun	afangafjoldi	einingar	nemendafjoldi	vinnuskylda	laun
109	Tungumál	10	4	55-59 ára	23	False	669.333333333	0.0	4	12	16	667	641595.501027
110	Tungumál	10	4	60 ára+	19	True	642.56	26.7733333333	4	12	16	551	738693.273631
111	Tungumál	10	4	60 ára+	19	False	669.333333333	0.0	4	12	16	551	767828.409224
112	Tungumál	9	4	38-54 ára	24	True	642.56	26.7733333333	4	12	16	696	609117.333333
113	Tungumál	9	4	38-54 ára	24	False	669.333333333	0.0	4	12	16	696	609117.333333
114	Tungumál	10	4	38-54 ára	24	True	642.56	26.7733333333	4	12	16	696	639056.333333
115	Tungumál	10	4	38-54 ára	24	False	669.333333333	0.0	4	12	16	696	639056.333333
116	Tungumál	7	4	30-37 ára	24	True	642.56	26.7733333333	4	12	16	708	553447.333333
117	Tungumál	7	4	30-37 ára	24	False	669.333333333	0.0	4	12	16	708	553447.333333
118	Tungumál	8	4	30-37 ára	24	True	642.56	26.7733333333	4	12	16	708	580604.333333
119	Tungumál	8	4	30-37 ára	24	False	669.333333333	0.0	4	12	16	708	580604.333333
120	Raungreinar	5	4	30 ára-	24	True	645.76	26.9066666667	4	12	16	720	502955.333333
121	Raungreinar	5	4	30 ára-	24	False	672.666666667	0.0	4	12	16	720	502955.333333
122	Raungreinar	6	4	30 ára-	24	True	645.76	26.9066666667	4	12	16	720	527585.333333
123	Raungreinar	6	4	30 ára-	24	False	672.666666667	0.0	4	12	16	720	527585.333333
124	Raungreinar	10	4	55-59 ára	23	True	645.76	26.9066666667	4	12	16	667	639056.333333
125	Raungreinar	10	4	55-59 ára	23	False	672.666666667	0.0	4	12	16	667	645222.883446
126	Raungreinar	10	4	60 ára+	19	True	645.76	26.9066666667	4	12	16	551	742175.560753
127	Raungreinar	10	4	60 ára+	19	False	672.666666667	0.0	4	12	16	551	771455.791643
128	Raungreinar	9	4	38-54 ára	24	True	645.76	26.9066666667	4	12	16	696	609117.333333
129	Raungreinar	9	4	38-54 ára	24	False	672.666666667	0.0	4	12	16	696	609117.333333
130	Raungreinar	10	4	38-54 ára	24	True	645.76	26.9066666667	4	12	16	696	639056.333333
131	Raungreinar	10	4	38-54 ára	24	False	672.666666667	0.0	4	12	16	696	639056.333333
132	Raungreinar	7	4	30-37 ára	24	True	645.76	26.9066666667	4	12	16	708	553447.333333
133	Raungreinar	7	4	30-37 ára	24	False	672.666666667	0.0	4	12	16	708	553447.333333
134	Raungreinar	8	4	30-37 ára	24	True	645.76	26.9066666667	4	12	16	708	580604.333333
135	Raungreinar	8	4	30-37 ára	24	False	672.666666667	0.0	4	12	16	708	580604.333333
136	Stærðfræði	5	4	30 ára-	24	True	627.2	26.1333333333	4	12	16	720	502955.333333
137	Stærðfræði	5	4	30 ára-	24	False	653.333333333	0.0	4	12	16	720	502955.333333
138	Stærðfræði	6	4	30 ára-	24	True	627.2	26.1333333333	4	12	16	720	527585.333333
139	Stærðfræði	6	4	30 ára-	24	False	653.333333333	0.0	4	12	16	720	527585.333333
140	Stærðfræði	10	4	55-59 ára	23	True	627.2	26.1333333333	4	12	16	667	639056.333333
141	Stærðfræði	10	4	55-59 ára	23	False	653.333333333	0.0	4	12	16	667	639056.333333
142	Stærðfræði	10	4	60 ára+	19	True	627.2	26.1333333333	4	12	16	551	721978.295442
143	Stærðfræði	10	4	60 ára+	19	False	653.333333333	0.0	4	12	16	551	750416.97361
144	Stærðfræði	9	4	38-54 ára	24	True	627.2	26.1333333333	4	12	16	696	609117.333333
145	Stærðfræði	9	4	38-54 ára	24	False	653.333333333	0.0	4	12	16	696	609117.333333
146	Stærðfræði	10	4	38-54 ára	24	True	627.2	26.1333333333	4	12	16	696	639056.333333
147	Stærðfræði	10	4	38-54 ára	24	False	653.333333333	0.0	4	12	16	696	639056.333333
148	Stærðfræði	7	4	30-37 ára	24	True	627.2	26.1333333333	4	12	16	708	553447.333333
149	Stærðfræði	7	4	30-37 ára	24	False	653.333333333	0.0	4	12	16	708	553447.333333
150	Stærðfræði	8	4	30-37 ára	24	True	627.2	26.1333333333	4	12	16	708	580604.333333
151	Stærðfræði	8	4	30-37 ára	24	False	653.333333333	0.0	4	12	16	708	580604.333333
152	Félagsgreinar	5	4	30 ára-	24	True	642.56	26.7733333333	4	12	16	720	502955.333333
153	Félagsgreinar	5	4	30 ára-	24	False	669.333333333	0.0	4	12	16	720	502955.333333
154	Félagsgreinar	6	4	30 ára-	24	True	642.56	26.7733333333	4	12	16	720	527585.333333
155	Félagsgreinar	6	4	30 ára-	24	False	669.333333333	0.0	4	12	16	720	527585.333333
156	Félagsgreinar	10	4	55-59 ára	23	True	642.56	26.7733333333	4	12	16	667	639056.333333
157	Félagsgreinar	10	4	55-59 ára	23	False	669.333333333	0.0	4	12	16	667	641595.501027
158	Félagsgreinar	10	4	60 ára+	19	True	642.56	26.7733333333	4	12	16	551	738693.273631
159	Félagsgreinar	10	4	60 ára+	19	False	669.333333333	0.0	4	12	16	551	767828.409224
160	Félagsgreinar	9	4	38-54 ára	24	True	642.56	26.7733333333	4	12	16	696	609117.333333
161	Félagsgreinar	9	4	38-54 ára	24	False	669.333333333	0.0	4	12	16	696	609117.333333
162	Félagsgreinar	10	4	38-54 ára	24	True	642.56	26.7733333333	4	12	16	696	639056.333333
163	Félagsgreinar	10	4	38-54 ára	24	False	669.333333333	0.0	4	12	16	696	639056.333333
164	Félagsgreinar	7	4	30-37 ára	24	True	642.56	26.7733333333	4	12	16	708	553447.333333
165	Félagsgreinar	7	4	30-37 ára	24	False	669.333333333	0.0	4	12	16	708	553447.333333
166	Félagsgreinar	8	4	30-37 ára	24	True	642.56	26.7733333333	4	12	16	708	580604.333333
167	Félagsgreinar	8	4	30-37 ára	24	False	669.333333333	0.0	4	12	16	708	580604.333333
168	Íslenska	5	4	30 ára-	24	True	654.08	27.2533333333	4	12	17	720	502955.333333
169	Íslenska	5	4	30 ára-	24	False	681.333333333	0.0	4	12	17	720	502955.333333
170	Íslenska	6	4	30 ára-	24	True	654.08	27.2533333333	4	12	17	720	527585.333333
171	Íslenska	6	4	30 ára-	24	False	681.333333333	0.0	4	12	17	720	527585.333333
172	Íslenska	10	4	55-59 ára	23	True	654.08	27.2533333333	4	12	17	667	639056.333333
173	Íslenska	10	4	55-59 ára	23	False	681.333333333	0.0	4	12	17	667	654654.077737
174	Íslenska	10	4	60 ára+	19	True	654.08	27.2533333333	4	12	17	551	751229.507272
175	Íslenska	10	4	60 ára+	19	False	681.333333333	0.0	4	12	17	551	780886.985934
176	Íslenska	9	4	38-54 ára	24	True	654.08	27.2533333333	4	12	17	696	609117.333333
177	Íslenska	9	4	38-54 ára	24	False	681.333333333	0.0	4	12	17	696	609117.333333
178	Íslenska	10	4	38-54 ára	24	True	654.08	27.2533333333	4	12	17	696	639056.333333
179	Íslenska	10	4	38-54 ára	24	False	681.333333333	0.0	4	12	17	696	639056.333333
180	Íslenska	7	4	30-37 ára	24	True	654.08	27.2533333333	4	12	17	708	553447.333333
181	Íslenska	7	4	30-37 ára	24	False	681.333333333	0.0	4	12	17	708	553447.333333
182	Íslenska	8	4	30-37 ára	24	True	654.08	27.2533333333	4	12	17	708	580604.333333
