synidaemi	launaflokkur	threp	aldursflokkur	kennsluskylda	skertur	vinnumat	ryrnun	afangafjoldi	einingar	nemendafjoldi	vinnuskylda	laun
Íslenska	8	4	30-37 ára	24	False	681.333333333	0.0	4	12	17	708	580604.333333
Tungumál	5	4	30 ára-	24	True	642.56	26.7733333333	4	12	17	720	502955.333333
Tungumál	5	4	30 ára-	24	False	669.333333333	0.0	4	12	17	720	502955.333333
Tungumál	6	4	30 ára-	24	True	642.56	26.7733333333	4	12	17	720	527585.333333
Tungumál	6	4	30 ára-	24	False	669.333333333	0.0	4	12	17	720	527585.333333
Tungumál	10	4	55-59 ára	23	True	642.56	26.7733333333	4	12	17	667	639056.333333
Tungumál	10	4	55-59 ára	23	False	669.333333333	0.0	4	12	17	667	641595.501027
Tungumál	10	4	60 ára+	19	True	642.56	26.7733333333	4	12	17	551	738693.273631
Tungumál	10	4	60 ára+	19	False	669.333333333	0.0	4	12	17	551	767828.409224
Tungumál	9	4	38-54 ára	24	True	642.56	26.7733333333	4	12	17	696	609117.333333
Tungumál	9	4	38-54 ára	24	False	669.333333333	0.0	4	12	17	696	609117.333333
Tungumál	10	4	38-54 ára	24	True	642.56	26.7733333333	4	12	17	696	639056.333333
Tungumál	10	4	38-54 ára	24	False	669.333333333	0.0	4	12	17	696	639056.333333
Tungumál	7	4	30-37 ára	24	True	642.56	26.7733333333	4	12	17	708	553447.333333
Tungumál	7	4	30-37 ára	24	False	669.333333333	0.0	4	12	17	708	553447.333333
Tungumál	8	4	30-37 ára	24	True	642.56	26.7733333333	4	12	17	708	580604.333333
Tungumál	8	4	30-37 ára	24	False	669.333333333	0.0	4	12	17	708	580604.333333
Raungreinar	5	4	30 ára-	24	True	656.0	27.3333333333	4	12	17	720	502955.333333
Raungreinar	5	4	30 ára-	24	False	683.333333333	0.0	4	12	17	720	502955.333333
Raungreinar	6	4	30 ára-	24	True	656.0	27.3333333333	4	12	17	720	527585.333333
Raungreinar	6	4	30 ára-	24	False	683.333333333	0.0	4	12	17	720	527585.333333
Raungreinar	10	4	55-59 ára	23	True	656.0	27.3333333333	4	12	17	667	639056.333333
Raungreinar	10	4	55-59 ára	23	False	683.333333333	0.0	4	12	17	667	656830.507189
Raungreinar	10	4	60 ára+	19	True	656.0	27.3333333333	4	12	17	551	753318.879546
Raungreinar	10	4	60 ára+	19	False	683.333333333	0.0	4	12	17	551	783063.415385
Raungreinar	9	4	38-54 ára	24	True	656.0	27.3333333333	4	12	17	696	609117.333333
Raungreinar	9	4	38-54 ára	24	False	683.333333333	0.0	4	12	17	696	609117.333333
Raungreinar	10	4	38-54 ára	24	True	656.0	27.3333333333	4	12	17	696	639056.333333
Raungreinar	10	4	38-54 ára	24	False	683.333333333	0.0	4	12	17	696	639056.333333
Raungreinar	7	4	30-37 ára	24	True	656.0	27.3333333333	4	12	17	708	553447.333333
Raungreinar	7	4	30-37 ára	24	False	683.333333333	0.0	4	12	17	708	553447.333333
Raungreinar	8	4	30-37 ára	24	True	656.0	27.3333333333	4	12	17	708	580604.333333
Raungreinar	8	4	30-37 ára	24	False	683.333333333	0.0	4	12	17	708	580604.333333
Stærðfræði	5	4	30 ára-	24	True	627.2	26.1333333333	4	12	17	720	502955.333333
Stærðfræði	5	4	30 ára-	24	False	653.333333333	0.0	4	12	17	720	502955.333333
Stærðfræði	6	4	30 ára-	24	True	627.2	26.1333333333	4	12	17	720	527585.333333
Stærðfræði	6	4	30 ára-	24	False	653.333333333	0.0	4	12	17	720	527585.333333
Stærðfræði	10	4	55-59 ára	23	True	627.2	26.1333333333	4	12	17	667	639056.333333
Stærðfræði	10	4	55-59 ára	23	False	653.333333333	0.0	4	12	17	667	639056.333333
Stærðfræði	10	4	60 ára+	19	True	627.2	26.1333333333	4	12	17	551	721978.295442
Stærðfræði	10	4	60 ára+	19	False	653.333333333	0.0	4	12	17	551	750416.97361
Stærðfræði	9	4	38-54 ára	24	True	627.2	26.1333333333	4	12	17	696	609117.333333
Stærðfræði	9	4	38-54 ára	24	False	653.333333333	0.0	4	12	17	696	609117.333333
Stærðfræði	10	4	38-54 ára	24	True	627.2	26.1333333333	4	12	17	696	639056.333333
Stærðfræði	10	4	38-54 ára	24	False	653.333333333	0.0	4	12	17	696	639056.333333
Stærðfræði	7	4	30-37 ára	24	True	627.2	26.1333333333	4	12	17	708	553447.333333
